Freq,Burst,BurstBegin,BurstEnd,Degree,Centrality,Sigma,PageRank,Label,Author,Year,Title,Source,Vol,Page,Half-life,DOI,ClusterID
4,0.00,,,2,0.01,1.00,0.00,image classification,,2019,,,,,,,2
3,0.00,,,2,0.01,1.00,0.00,natural languages,,2022,,,,,,,7
8,0.00,,,2,0.03,1.00,0.00,text mining,,2016,,,,,,,1
6,0.00,,,2,0.02,1.00,0.00,recurrent neural network,,2018,,,,,,,2
1,0.00,,,2,0.00,1.00,0.00,analysis of orthographic transcriptions,,2011,,,,,,,1
1,0.00,,,2,0.00,1.00,0.00,american sign language (asl),,2012,,,,,,,9
1,0.00,,,2,0.00,1.00,0.00,age children,,2011,,,,,,,1
2,0.00,,,2,0.01,1.00,0.00,computation,,2011,,,,,,,0
1,0.00,,,2,0.00,1.00,0.00,chemical reaction networks,,2009,,,,,,,1
2,0.00,,,2,0.00,1.00,0.00,visual attention,,2018,,,,,,,0
1,0.00,,,2,0.00,1.00,0.00,active automata learning,,2014,,,,,,,5
5,0.00,,,2,0.01,1.00,0.00,ontology,,2011,,,,,,,10
2,0.00,,,2,0.00,1.00,0.00,computational model,,2020,,,,,,,3
2,0.00,,,2,0.01,1.00,0.00,circuits,,2018,,,,,,,0
1,0.00,,,2,0.00,1.00,0.00,alphabet abstraction refinement,,2014,,,,,,,5
1,0.00,,,2,0.00,1.00,0.00,acoustic model training,,2012,,,,,,,9
2,0.00,,,2,0.03,1.00,0.00,intelligent systems,,2021,,,,,,,3
9,3.45,2019,2021,2,0.01,1.04,0.00,word embedding,,2019,,,,,,,4
8,0.00,,,2,0.01,1.00,0.00,low-resource languages,,2023,,,,,,,2
1,0.00,,,2,0.03,1.00,0.00,architecture,,2006,,,,,,,0
2,0.00,,,2,0.00,1.00,0.00,computational complexity,,2011,,,,,,,1
1,0.00,,,2,0.01,1.00,0.00,business process modelling,,2006,,,,,,,0
3,0.00,,,2,0.03,1.00,0.00,selection,,2023,,,,,,,9
3,0.00,,,2,0.01,1.00,0.00,sequence-to-sequence model,,2023,,,,,,,7
2,0.00,,,2,0.00,1.00,0.00,robust speech recognition,,2017,,,,,,,0
4,0.00,,,2,0.06,1.00,0.00,adaptation,,2011,,,,,,,11
4,0.00,,,2,0.02,1.00,0.00,social networking (online),,2023,,,,,,,3
2,0.00,,,2,0.02,1.00,0.00,complex event processing,,2015,,,,,,,10
3,0.00,,,2,0.00,1.00,0.00,context modeling,,2023,,,,,,,3
1,0.00,,,2,0.00,1.00,0.00,british english,,2013,,,,,,,6
2,0.00,,,2,0.02,1.00,0.00,media,,2019,,,,,,,4
2,0.00,,,2,0.00,1.00,0.00,couple therapy,,2021,,,,,,,11
5,0.00,,,2,0.01,1.00,0.00,web,,2014,,,,,,,7
2,0.00,,,2,0.01,1.00,0.00,language generation,,2021,,,,,,,6
6,0.00,,,2,0.01,1.00,0.00,domain adaptation,,2018,,,,,,,6
3,0.00,,,2,0.02,1.00,0.00,game,,2019,,,,,,,4
2,0.00,,,1,0.00,1.00,0.00,design,,2022,,,,,,,6
3,0.00,,,1,0.00,1.00,0.00,community question answering,,2017,,,,,,,1
2,0.00,,,1,0.00,1.00,0.00,efficient training,,2022,,,,,,,5
2,0.00,,,1,0.00,1.00,0.00,conceptual models,,2017,,,,,,,10
2,0.00,,,1,0.00,1.00,0.00,behavior,,2023,,,,,,,5
2,0.00,,,1,0.00,1.00,0.00,latent dirichlet allocation,,2019,,,,,,,7
2,0.00,,,1,0.00,1.00,0.00,artificial general intelligence,,2023,,,,,,,1
1,0.00,,,1,0.00,1.00,0.00,affective reasoning,,2008,,,,,,,19
3,0.00,,,1,0.00,1.00,0.00,similarity,,2020,,,,,,,4
2,0.00,,,1,0.00,1.00,0.00,identification,,2006,,,,,,,0
2,0.00,,,1,0.00,1.00,0.00,handwritten chinese text recognition,,2018,,,,,,,1
2,0.00,,,1,0.00,1.00,0.00,analytics,,2020,,,,,,,4
2,0.00,,,1,0.00,1.00,0.00,deep metric learning,,2022,,,,,,,8
1,0.00,,,1,0.00,1.00,0.00,3d spatial query language,,2014,,,,,,,0
1,0.00,,,1,0.00,1.00,0.00,actor oriented design,,2015,,,,,,,10
7,0.00,,,1,0.00,1.00,0.00,visual question answering,,2022,,,,,,,3
1,0.00,,,1,0.00,1.00,0.00,conceptual modeling,,2005,,,,,,,13
2,0.00,,,1,0.00,1.00,0.00,abstractive text summarization,,2023,,,,,,,5
2,0.00,,,1,0.00,1.00,0.00,product design,,2015,,,,,,,10
1,0.00,,,1,0.00,1.00,0.00,action history,,2016,,,,,,,14
1,0.00,,,1,0.00,1.00,0.00,classification scheme,,2005,,,,,,,13
1,0.00,,,1,0.00,1.00,0.00,applications in medicine,,2015,,,,,,,1
2,0.00,,,1,0.00,1.00,0.00,patterns,,2015,,,,,,,9
2,0.00,,,1,0.00,1.00,0.00,search,,2014,,,,,,,5
6,0.00,,,1,0.00,1.00,0.00,active learning,,2009,,,,,,,7
2,0.00,,,1,0.00,1.00,0.00,documents,,2021,,,,,,,6
2,0.00,,,1,0.00,1.00,0.00,topic model,,2016,,,,,,,4
1,0.00,,,1,0.00,1.00,0.00,aging speech recognition,,2013,,,,,,,15
1,0.00,,,1,0.00,1.00,0.00,bregman information,,2007,,,,,,,16
4,0.00,,,1,0.00,1.00,0.00,long short-term memory,,2019,,,,,,,4
1,0.00,,,1,0.00,1.00,0.00,clinical data,,2009,,,,,,,5
11,0.00,,,1,0.00,1.00,0.00,image captioning,,2022,,,,,,,2
4,0.00,,,1,0.00,1.00,0.00,agreement,,2011,,,,,,,6
4,0.00,,,1,0.00,1.00,0.00,learning systems,,2023,,,,,,,3
4,0.00,,,1,0.00,1.00,0.00,contrastive learning,,2023,,,,,,,3
1,0.00,,,1,0.00,1.00,0.00,classical planning,,2009,,,,,,,5
3,0.00,,,1,0.00,1.00,0.00,generative adversarial networks,,2023,,,,,,,2
1,0.00,,,1,0.00,1.00,0.00,acoustic analysis,,2017,,,,,,,17
1,0.00,,,1,0.00,1.00,0.00,art,,2011,,,,,,,5
3,0.00,,,1,0.00,1.00,0.00,representation learning,,2021,,,,,,,4
1,0.00,,,1,0.00,1.00,0.00,binding,,2013,,,,,,,6
10,3.84,2019,2021,1,0.00,1.00,0.00,convolutional neural network,,2019,,,,,,,2
1,0.00,,,1,0.00,1.00,0.00,1st order,,2017,,,,,,,9
8,0.00,,,1,0.00,1.00,0.00,language model,,2017,,,,,,,3
3,0.00,,,1,0.00,1.00,0.00,continual learning,,2023,,,,,,,2
1,0.00,,,1,0.00,1.00,0.00,1st words,,2017,,,,,,,17
7,0.00,,,1,0.00,1.00,0.00,natural language processing (nlp),,2021,,,,,,,3
9,0.00,,,1,0.00,1.00,0.00,pre-trained language model,,2023,,,,,,,3
2,0.00,,,1,0.00,1.00,0.00,dependency parsing,,2021,,,,,,,6
1,0.00,,,1,0.00,1.00,0.00,arrays,,2013,,,,,,,18
1,0.00,,,1,0.00,1.00,0.00,answers,,2015,,,,,,,7
1,0.00,,,1,0.00,1.00,0.00,brain connectivity,,2012,,,,,,,4
3,0.00,,,1,0.00,1.00,0.00,few-shot learning,,2022,,,,,,,6
11,0.00,,,1,0.00,1.00,0.00,question answering,,2022,,,,,,,7
1,0.00,,,1,0.00,1.00,0.00,c plus,,2013,,,,,,,18
1,0.00,,,1,0.00,1.00,0.00,body language,,2008,,,,,,,19
13,0.00,,,1,0.00,1.00,0.00,computer vision,,2017,,,,,,,2
14,0.00,,,1,0.00,1.00,0.00,network,,2021,,,,,,,11
1,0.00,,,1,0.00,1.00,0.00,age,,2013,,,,,,,15
2,0.00,,,1,0.00,1.00,0.00,tools,,2011,,,,,,,0
1,0.00,,,1,0.00,1.00,0.00,3 way decisions,,2018,,,,,,,4
1,0.00,,,1,0.00,1.00,0.00,acoustic feature modeling,,2014,,,,,,,4
4,0.00,,,1,0.00,1.00,0.00,hidden markov model,,2010,,,,,,,1
2,0.00,,,1,0.00,1.00,0.00,graph neural network,,2021,,,,,,,20
7,0.00,,,1,0.00,1.00,0.00,emotion recognition,,2022,,,,,,,9
20,0.00,,,1,0.00,1.00,0.00,text classification,,2021,,,,,,,6
1,0.00,,,1,0.00,1.00,0.00,bregman divergences,,2007,,,,,,,16
2,0.00,,,1,0.00,1.00,0.00,parallel computing,,2018,,,,,,,5
2,0.00,,,1,0.00,1.00,0.00,recommender systems,,2019,,,,,,,7
1,0.00,,,1,0.00,1.00,0.00,backpropagation through time,,2010,,,,,,,1
2,0.00,,,1,0.00,1.00,0.00,document classification,,2021,,,,,,,20
4,0.00,,,1,0.00,1.00,0.00,fake news detection,,2022,,,,,,,2
4,0.00,,,1,0.00,1.00,0.00,hate speech,,2021,,,,,,,2
2,0.00,,,1,0.00,1.00,0.00,finite state transducers,,2014,,,,,,,5
6,0.00,,,1,0.00,1.00,0.00,text generation,,2022,,,,,,,3
5,0.00,,,1,0.00,1.00,0.00,complexity,,2012,,,,,,,10
7,0.00,,,1,0.00,1.00,0.00,relation extraction,,2019,,,,,,,2
2,0.00,,,1,0.00,1.00,0.00,data modeling,,2016,,,,,,,10
2,0.00,,,1,0.00,1.00,0.00,feature fusion,,2020,,,,,,,8
2,0.00,,,1,0.00,1.00,0.00,distant supervision,,2020,,,,,,,8
3,0.00,,,1,0.00,1.00,0.00,events,,2019,,,,,,,1
1,0.00,,,1,0.00,1.00,0.00,action n-gram model,,2016,,,,,,,14
2,0.00,,,1,0.00,1.00,0.00,artificial neural network,,2010,,,,,,,1
1,0.00,,,1,0.00,1.00,0.00,basal ganglia,,2010,,,,,,,1
2,0.00,,,1,0.00,1.00,0.00,english,,2020,,,,,,,2
1,0.00,,,1,0.00,1.00,0.00,cardiac surgery,,2007,,,,,,,6
1,0.00,,,1,0.00,1.00,0.00,architectural software design,,2012,,,,,,,10
1,0.00,,,1,0.00,1.00,0.00,arabic sign language (arsl),,2009,,,,,,,5
1,0.00,,,0,0.00,1.00,0.00,articulated object recognition,,2012,,,,,,,21
1,0.00,,,0,0.00,1.00,0.00,and-or graph model,,2009,,,,,,,22
1,0.00,,,0,0.00,1.00,0.00,automatic speech recognition (asr),,2010,,,,,,,23
1,0.00,,,0,0.00,1.00,0.00,acoustic modeling units,,2015,,,,,,,24
1,0.00,,,0,0.00,1.00,0.00,automatic image annotation,,2008,,,,,,,25
2,0.00,,,0,0.00,1.00,0.00,web service,,2008,,,,,,,26
2,0.00,,,0,0.00,1.00,0.00,keyword search,,2015,,,,,,,27
1,0.00,,,0,0.00,1.00,0.00,association rules,,2006,,,,,,,28
1,0.00,,,0,0.00,1.00,0.00,cell,,2007,,,,,,,29
1,0.00,,,0,0.00,1.00,0.00,algorithm combination,,2006,,,,,,,30
2,0.00,,,0,0.00,1.00,0.00,statistical language modeling,,2018,,,,,,,31
1,0.00,,,0,0.00,1.00,0.00,adaptive and intuitive interfaces,,2007,,,,,,,32
2,0.00,,,0,0.00,1.00,0.00,agent-oriented software engineering,,2005,,,,,,,33
1,0.00,,,0,0.00,1.00,0.00,aspect modeling,,2006,,,,,,,34
1,0.00,,,0,0.00,1.00,0.00,bidirectional long short-term memory,,2009,,,,,,,35
2,0.00,,,0,0.00,1.00,0.00,bayesian networks,,2008,,,,,,,36
1,0.00,,,0,0.00,1.00,0.00,ambiguous supervision,,2014,,,,,,,37
1,0.00,,,0,0.00,1.00,0.00,american sign language dataset,,2018,,,,,,,38
2,0.00,,,0,0.00,1.00,0.00,linked data,,2017,,,,,,,39
1,0.00,,,0,0.00,1.00,0.00,aspect-oriented software development,,2006,,,,,,,40
1,0.00,,,0,0.00,1.00,0.00,answer extraction,,2009,,,,,,,41
1,0.00,,,0,0.00,1.00,0.00,agent oriented software engineering,,2018,,,,,,,42
1,0.00,,,0,0.00,1.00,0.00,children,,2005,,,,,,,43
1,0.00,,,0,0.00,1.00,0.00,belief propagation,,2009,,,,,,,44
1,0.00,,,0,0.00,1.00,0.00,attribute-efficient learning,,2010,,,,,,,45
1,0.00,,,0,0.00,1.00,0.00,adaptive systems,,2008,,,,,,,46
2,0.00,,,0,0.00,1.00,0.00,opinion mining,,2015,,,,,,,47
1,0.00,,,0,0.00,1.00,0.00,business rules model,,2007,,,,,,,48
1,0.00,,,0,0.00,1.00,0.00,5 year forecast,,2018,,,,,,,49
1,0.00,,,0,0.00,1.00,0.00,adaptation templates,,2012,,,,,,,50
1,0.00,,,0,0.00,1.00,0.00,activation,,2014,,,,,,,51
2,0.00,,,0,0.00,1.00,0.00,knowledge distillation,,2021,,,,,,,52
1,0.00,,,0,0.00,1.00,0.00,calculuses,,2005,,,,,,,53
1,0.00,,,0,0.00,1.00,0.00,bwww model,,2007,,,,,,,54
2,0.00,,,0,0.00,1.00,0.00,reinforcement learning,,2019,,,,,,,55
2,0.00,,,0,0.00,1.00,0.00,online handwriting recognition,,2016,,,,,,,56
1,0.00,,,0,0.00,1.00,0.00,bayesian non-parametrics,,2010,,,,,,,57
1,0.00,,,0,0.00,1.00,0.00,algebra,,2010,,,,,,,58
1,0.00,,,0,0.00,1.00,0.00,attachment,,2005,,,,,,,59
2,0.00,,,0,0.00,1.00,0.00,kernel,,2016,,,,,,,60
3,0.00,,,0,0.00,1.00,0.00,automatic speech recognition,,2011,,,,,,,61
1,0.00,,,0,0.00,1.00,0.00,accented speech,,2014,,,,,,,62
1,0.00,,,0,0.00,1.00,0.00,affect analysis,,2014,,,,,,,63
1,0.00,,,0,0.00,1.00,0.00,acquisition,,2007,,,,,,,64
1,0.00,,,0,0.00,1.00,0.00,alpha beta,,2015,,,,,,,65
1,0.00,,,0,0.00,1.00,0.00,business process modeling,,2009,,,,,,,66
1,0.00,,,0,0.00,1.00,0.00,activity clustering,,2016,,,,,,,67
1,0.00,,,0,0.00,1.00,0.00,call classification,,2007,,,,,,,68
1,0.00,,,0,0.00,1.00,0.00,artificial brains,,2010,,,,,,,69
1,0.00,,,0,0.00,1.00,0.00,business constraints,,2013,,,,,,,70
